in	m	1	0.0254
ft	m	1	0.3048
yd	m	1	0.9144
mile	m	1	1609.344
ha	m	2	10000
ac	m	2	4046.86
l	m	3	0.001
gal	m	3	0.003685
bbl	m	3	0.1589
oz	m	3	0.00003
t	g	1	1000000
gr	g	1	0.064799
oz	g	1	28.349523
lb	g	1	453.59237
min	s	1	60
hour	s	1	3600
day	s	1	84600
week	s	1	604800
month	s	1	2678400
year	s	1	31536000
decade	s	1	315360000
generation	s	1	3153600000
g	g	1	1
m	m	1	1
s	s	1	1
척	m	1	0.84
g^(-2)	g	-2	1
